Drug,GENE
Axitinib,MAP3K4
Axitinib,RPS6KA4
Axitinib,STK17A
Axitinib,TNNI3K
Axitinib,AURKB
Axitinib,FLT4
Axitinib,PLK2
Axitinib,KDR
Axitinib,CHEK1
Crizotinib,BRAF
Crizotinib,ALK
Crizotinib,MET
Crizotinib,INSR
Crizotinib,AAK1
Crizotinib,PIK3CA
Crizotinib,EGFR
Crizotinib,RET
Crizotinib,IGF1R
Crizotinib,ABL1
Crizotinib,MINK1
Crizotinib,MYLK
Crizotinib,CAMK2B
Crizotinib,EPHA6
Crizotinib,FLT3
Crizotinib,RPS6KA6
Crizotinib,TNNI3K
Crizotinib,CAMKK2
Crizotinib,PRKG1
Crizotinib,FLT4
Crizotinib,BRSK1
Crizotinib,RPS6KA1
Crizotinib,CDK11A
Crizotinib,DAPK1
Crizotinib,CDK4
Vemurafenib,CHRM3
Vemurafenib,BRAF
Vemurafenib,DDR2
Vemurafenib,RAF1
Vemurafenib,EGFR
Vemurafenib,KDR
Megestrol acetate,CA9
Celecoxib,HDAC1
Celecoxib,HDAC6
Celecoxib,MT-CO2
Celecoxib,CA7
Celecoxib,CA12
Raloxifene hydrochloride,HLA-A
Imatinib mesylate,ABCC4
Imatinib mesylate,KARS1
Vorinostat,KCNH2
Vorinostat,HSP90AA1
Vorinostat,MDM2
Doxorubicin hydrochloride,TOP2B
Doxorubicin hydrochloride,TERT
Etoposide,TOP2B
Gefitinib,KDR
Gefitinib,MAPK9
Methotrexate,FPGS
Lapatinib ditosylate,STK10
Lapatinib ditosylate,SLK
Sorafenib tosylate,RIPK3
Sorafenib tosylate,MET
Sorafenib tosylate,CDK6
Sorafenib tosylate,STK10
Sorafenib tosylate,CA2
Sorafenib tosylate,CA9
Sorafenib tosylate,CA1
Sorafenib tosylate,CA7
Bortezomib,PSMB1
Bortezomib,PSMB2
Tretinoin,PIN1
Dasatinib,PKMYT1
Dasatinib,BTK
Dasatinib,LYN
Dasatinib,CSK
Dasatinib,WEE1
Dasatinib,WEE2
Sunitinib,DLK1
Sunitinib,BRD7
Romidepsin,HDAC6
Romidepsin,HDAC4
Crizotinib,JAK3
Crizotinib,JAK2
Crizotinib,TYK2
Crizotinib,JAK1
Hydroxyurea,DNTT
Doxorubicin hydrochloride,GADD45A
Lenalidomide,KRAS
Chlorambucil,MGMT
Everolimus,VHL
Ruxolitinib,JAK2
Doxorubicin hydrochloride,BRCA1
Doxorubicin hydrochloride,PAX8
Paclitaxel,TUBB1
Cyclophosphamide,IFNG
Paclitaxel,EDNRB
Quinacrine hydrochloride,MTOR
Exemestane,PGR
Methoxsalen,CYP1A2
Carboplatin,ATP7A
Everolimus,STK11
Tretinoin,NRIP1
Gefitinib,CAMK2D
Methotrexate,BAX
Crizotinib,NPM1
Raloxifene hydrochloride,AR
Gemcitabine hydrochloride,ATRX
Raloxifene hydrochloride,MAPT
Sirolimus,TGM2
Doxorubicin hydrochloride,CYP2D6
Letrozole,CYP19A1
Azacitidine,AR
Mitoxantrone,MBNL1
Capecitabine,DPYD
Cytarabine hydrochloride,MAGEA1
Carmustine,CYP2C19
Imatinib mesylate,HGF
Gefitinib,KRAS
Vincristine sulfate,BDNF
Exemestane,ESR1
Docetaxel,FBXW7
Capecitabine,TYMS
Doxorubicin hydrochloride,MAPT
Mitoxantrone,SMAD3
Sorafenib tosylate,VEGFA
Cytarabine hydrochloride,CBFB
Erlotinib hydrochloride,KDR
Etoposide,MAPK3
Methoxsalen,ESR1
Oxaliplatin,PTEN
Megestrol acetate,NFE2L2
Allopurinol,CYP2C9
Raloxifene hydrochloride,KDM4A
Methoxsalen,CYP2D6
Axitinib,FLT1
Sirolimus,HRAS
Dasatinib,AXL
Gemcitabine hydrochloride,TP53
Tamoxifen citrate,PLD2
Doxorubicin hydrochloride,BAX
Crizotinib,FGFR1
Dactinomycin,AR
Crizotinib,ROS1
Tamoxifen citrate,IDH1
Bleomycin sulfate,NFE2L2
Gemcitabine hydrochloride,ERBB2
Dactinomycin,AFP
Celecoxib,STAT3
4'-Epiadriamycin,TP53
Paclitaxel,GMNN
Floxuridine,DNMT1
Azacitidine,HBB
Vorinostat,TUBA3D
Daunorubicin hydrochloride,MAPK1
Mitoxantrone,KDM4A
Mitoxantrone,EHMT2
Daunorubicin hydrochloride,AR
Doxorubicin hydrochloride,TOP2A
Vinblastine sulfate,TUBB2A
Paclitaxel,CASP3
Imatinib mesylate,IDH1
Ifosfamide,DNMT1
Vinblastine sulfate,ABCB1
Fulvestrant,ESR1
Topotecan hydrochloride,TOP1
Tamoxifen citrate,CYP2B6
Gefitinib,CEACAM5
Paclitaxel,TUBB3
Mitoxantrone,NFKB1
Dasatinib,FYN
Daunorubicin hydrochloride,HDAC11
Thalidomide,HGF
Sirolimus,NFE2L2
Busulfan,ITGAL
Doxorubicin hydrochloride,AFP
Anastrozole,CYP19A1
Daunorubicin hydrochloride,PAX8
Vemurafenib,MAP2K1
Doxorubicin hydrochloride,RXRA
Vinblastine sulfate,CGA
Everolimus,RET
Dasatinib,CSF1R
Tamoxifen citrate,ESR1
Chlorambucil,TP53
Lapatinib ditosylate,PGR
Cisplatin,HSPA8
Streptozocin,SFTPB
Melphalan,TP53
Daunorubicin hydrochloride,POLB
Dactinomycin,ESR1
Paclitaxel,BIRC5
Busulfan,CYP3A4
Paclitaxel,TUBA1B
Arsenic trioxide,TXNRD1
Gefitinib,MAPK14
Everolimus,GNAQ
Vincristine sulfate,TUBB1
Nilotinib,BCR
Thalidomide,NFKB1
Sorafenib tosylate,DYRK3
Doxorubicin hydrochloride,RUNX1
Paclitaxel,DDIT3
Raloxifene hydrochloride,ATXN2
Azacitidine,GATA2
Tamoxifen citrate,NCOA3
Sorafenib tosylate,GMNN
Vinblastine sulfate,IDH1
Tamoxifen citrate,MPHOSPH8
Thalidomide,PTGS2
Anastrozole,CYP1B1
Erlotinib hydrochloride,CLK4
Cisplatin,TP53
Erlotinib hydrochloride,FLT4
Azacitidine,SMAD3
Romidepsin,ERBB2
Carboplatin,APEX1
Mercaptopurine,CYP1A2
Everolimus,MTOR
Erlotinib hydrochloride,EGFR
Sunitinib,PDGFB
Sirolimus,FBXW7
Cisplatin,ALK
Bortezomib,PSMD4P1
Temozolomide,MSH6
Topotecan hydrochloride,TOP1MT
Azacitidine,THPO
Cisplatin,ALOX15
Daunorubicin hydrochloride,HDAC7
Bortezomib,PSMB3
Daunorubicin hydrochloride,BLM
Vinblastine sulfate,JUN
Fluorouracil,TYMS
Fulvestrant,PTEN
Vincristine sulfate,TUBA3C
Carboplatin,ATP7B
Sorafenib tosylate,KIT
Cabazitaxel,TUBB1
Cyclophosphamide,BRCA1
Doxorubicin hydrochloride,TP53
Sorafenib tosylate,YES1
Erlotinib hydrochloride,ERBB4
Chlorambucil,GFER
Paclitaxel,TP53
Sunitinib,NOS3
Daunorubicin hydrochloride,GATA1
Cladribine,XIAP
Vismodegib,PTCH1
Mitomycin,BRCA1
Teniposide,FAS
Gefitinib,IRAK1
Bortezomib,PSMA7
Imatinib mesylate,NTRK1
Cisplatin,STK11
Etoposide,MYCN
Sirolimus,IL10
Vemurafenib,KRAS
Raloxifene hydrochloride,KCNH2
Arsenic trioxide,DNMT1
Teniposide,TOP2A
Raloxifene hydrochloride,GHRL
Arsenic trioxide,IL6
Quinacrine hydrochloride,TP53
Cytarabine hydrochloride,BIRC5
Celecoxib,AR
Fludarabine,ATM
Dasatinib,KIT
Gefitinib,PRKD3
Daunorubicin hydrochloride,POLK
Carboplatin,GSTP1
Decitabine,EGFR
Everolimus,HRAS
Doxorubicin hydrochloride,ATXN2
Doxorubicin hydrochloride,CYP2C19
Oxaliplatin,ATP7A
Dasatinib,STAT5B
Azacitidine,GSTP1
Carmustine,PLAU
Sunitinib,PDGFC
Cyclophosphamide,MYCN
Imatinib mesylate,KIT
Paclitaxel,GSTT1
Bortezomib,PSMD3
Temozolomide,TP53
Bortezomib,PSMD2
Etoposide,BRCA2
Mitoxantrone,HTT
Mitomycin,CYP1A2
Sorafenib tosylate,MAP4K5
Gemcitabine hydrochloride,RRM2
Tretinoin,MYCN
Paclitaxel,NAT2
Cyclophosphamide,NTRK1
Streptozocin,MYO9B
Bortezomib,PSMA8
Imatinib mesylate,CSF1R
Doxorubicin hydrochloride,THRB
Methotrexate,POLH
Vorinostat,TUBB3
Vinblastine sulfate,PAX8
Tretinoin,MAPK8
Raloxifene hydrochloride,P4HB
Bortezomib,PSMC3IP
Bortezomib,PSMB10
Streptozocin,HRAS
Vandetanib,PTEN
Dasatinib,MAP2K2
Erlotinib hydrochloride,PKN2
Doxorubicin hydrochloride,IDH1
Everolimus,NRAS
Mitoxantrone,RAD52
Clofarabine,RRM1
Gefitinib,HIPK4
Azacitidine,DNMT1
Cyclophosphamide,FAS
Carmustine,E2F1
Tamoxifen citrate,PPARD
Everolimus,ERBB2
Docetaxel,DDIT3
Bortezomib,NFKB2
Dactinomycin,NTF3
Allopurinol,CYP2D6
Vorinostat,RB1
Fludarabine,MPO
Idarubicin hydrochloride,POLK
Vincristine sulfate,NR0B1
Topotecan hydrochloride,ALK
Vismodegib,SMO
Cisplatin,PRL
Tretinoin,ITGB2
Vorinostat,TUBB
Raloxifene hydrochloride,CYP3A4
Dactinomycin,CYP3A4
Methotrexate,VDR
Cisplatin,EHMT2
Sorafenib tosylate,AKT1
